Date,Stock,GapSize,market_cap,OpenPrice,OpenUnadjusted,PreVolume,PreHigh,PreBreakTime,RVOL10D,GapSizeRel,$volume,MaxChange,Day1,Day2,Overnight,2Day,Day1Trade,Day2Trade,OvernightTrade,2DayTrade,Day1TradeCum,Day2TradeCum,OvernightTradeCum,2DayTradeCum
2020-04-13,WORX,186.66666666666666,135114476.1,6.45,6.45,3583804.0,9.95,11:55:00,9.893779449311802,17.052107903944126,888249340.0799999,130.69767441860466,-0.8635658914728681,0.22480620155038775,0.32868217054263554,-0.3100775193798448,-0.08685658914728682,0.021980620155038776,0.03236821705426356,-0.03150775193798448,11.887214685037934,5.771275124447101,-3.288442462493146,17.649047346991956
2020-04-13,EYES,27.35849056603774,46896919.44,1.35,1.35,11565.0,1.29,09:30:00,1.0519715065067423,3.2026669839271484,499188.74,0.0,0.11851851851851862,-0.3185185185185185,-0.09629629629629638,-0.2962962962962962,0.011351851851851863,-0.03235185185185185,-0.01012962962962964,-0.030129629629629624,11.898566536889787,5.738923272595249,-3.2985720921227757,17.618917717362326
2020-04-13,USWS,24.972533509118875,34028649.2,2.275,0.65,291041.42809999996,3.045,,1.7637995715050367,2.340961500470303,17562383.474999998,13.384615384615394,0.0,0.10382417582417572,0.0,0.10382417582417572,-0.0005,0.009882417582417572,-0.0005,0.009882417582417572,11.898066536889786,5.748805690177667,-3.299072092122776,17.628800134944743
2020-04-13,PSTI,24.82065997130558,253907954.65,8.7,8.7,1442368.0,9.36,09:30:00,1.9394259903833497,4.350493866939807,91316248.86999999,9.770114942528751,0.09080459770114933,-0.002298850574712595,-0.0551724137931035,0.033333333333333236,0.008580459770114934,-0.0007298850574712595,-0.00601724137931035,0.0028333333333333236,11.906646996659902,5.7480758051201954,-3.305089333502086,17.63163346827808
2020-04-13,NURO,19.548872180451138,12616500.33,1.59,1.59,31613.0,1.56,09:30:00,3.920733565394876,2.059604599155579,4560367.74,44.41509433962263,-0.18867924528301874,-0.5283018867924527,-0.1698113207547171,-0.8867924528301886,-0.019367924528301876,-0.05333018867924527,-0.017481132075471712,-0.08917924528301886,11.8872790721316,5.69474561644095,-3.3225704655775576,17.542454222995058
2020-04-13,MITT,17.15116279069766,75658368.03,12.09,4.03,64884.3334,12.54,,1.047765840380436,4.834858589466009,60322105.47,0.2481389578163684,0.17866004962779158,0.062034739454094295,-0.014888337468982608,0.22580645161290328,0.01736600496277916,0.00570347394540943,-0.001988833746898261,0.022080645161290328,11.90464507709438,5.70044909038636,-3.3245592993244557,17.564534868156347
2020-04-13,NR,17.117117117117118,102405722.88000001,1.3,1.3,6510.0,1.3,09:30:00,0.6785679913907074,2.9925921307966643,1288859.5650000002,1.538461538461533,0.1461538461538461,0.046153846153846025,-0.030769230769230625,0.1615384615384615,0.014115384615384611,0.004115384615384603,-0.0035769230769230626,0.01565384615384615,11.918760461709764,5.704564475001744,-3.328136222401379,17.580188714310193
2020-04-13,LPI,25.0,254352685.0,10.0,0.5,12984.15,10.4,,1.234255498202813,3.707052523413692,91890270.00000001,0.0,0.06199999999999992,0.07339999999999999,-0.050799999999999915,0.08460000000000001,0.005699999999999993,0.006839999999999999,-0.005579999999999991,0.00796,11.924460461709764,5.7114044750017445,-3.333716222401379,17.588148714310194
2020-04-13,PHGE,15.831663326653311,144335206.45,5.78,5.78,0.0,,,0.9413423321288328,2.445597646365144,191988.825,0.0,0.12629757785467136,-0.00865051903114199,0.0207612456747405,0.13840830449826985,0.012129757785467135,-0.0013650519031141992,0.00157612456747405,0.013340830449826986,11.936590219495232,5.71003942309863,-3.332140097833905,17.60148954476002
2020-04-13,PDS,15.549215406562045,5100916.545,8.1,0.405,6721.149999999999,8.4,,2.0362926750214414,2.7511341955545294,26073278.892,0.0,0.053333333333333274,0.06518518518518514,-0.04098765432098764,0.07753086419753077,0.004833333333333328,0.006018518518518514,-0.004598765432098763,0.0072530864197530775,11.941423552828565,5.716057941617149,-3.3367388632660036,17.608742631179773
